,Factor,Sharpe_Ratio,Signal_Count
0,RSI,0.2502112126404458,592
1,MACD,-0.08026302853413422,600
2,BB,-0.17212891712767217,600
3,VolRatio,-0.2838802890145214,598
4,Momentum,-0.0996887210887542,594
5,Volatility,0.419334674354942,588
6,PricePos,0.34383417305376823,600
7,OBV,-1.0189708428399658,600
8,ATR,-0.8009719556343959,592
9,Stoch,-0.026677038840166218,592
