timestamp,ClosePos,VPT,VolRatio,OBV,Volatility
2023-07-20,0.2705729474305976,,,0.5,
2023-07-21,0.5229604007633609,,,0.21777513158021625,
2023-07-22,0.4517250601765199,,,0.20944371700004952,
2023-07-23,0.5705645161290323,,,0.21983939096031635,
2023-07-24,0.25418524982224683,,0.4928822341187178,0.1973184844720403,
2023-07-25,0.5520328917313818,,0.30452522788053377,0.20957416156264533,
2023-07-26,0.43000708191414,,0.44154366716860016,0.22885729281087705,
2023-07-27,0.2872591183524924,,0.275658538353461,0.2160840545382302,
2023-07-28,0.4557862085421127,,0.2824177763458651,0.22971947381365207,
2023-07-29,0.6416346026270563,,0.16030667995807646,0.23588623736969358,
2023-07-30,0.5961371945353077,0.01012747330240378,0.24474825903060524,0.226960063873435,
2023-07-31,0.30464736104624124,0.0011961843547119008,0.39395869257470606,0.21411350811881114,
2023-08-01,0.9711672662650094,-0.006056689999261608,0.6322920436601257,0.23952740124887326,
2023-08-02,0.23081249999999856,-0.04875825638585329,0.5652530584373738,0.21214607569274974,
2023-08-03,0.48490318698557705,-0.0001949660023724703,0.27984024125916324,0.22719274062399972,
2023-08-04,0.5831145107889033,-0.00036211157578221924,0.23712867960409,0.21380831624299615,
2023-08-05,0.5385678898554151,0.006261620369919708,0.12556437323357597,0.20719024131223931,
2023-08-06,0.45279302096523444,0.0019020538872651946,0.17851666202298647,0.214679326829576,
2023-08-07,0.88585323491099,-0.001021968419860152,0.4877312645859376,0.23227760601626363,
2023-08-08,0.5685116851168492,0.045680846386437636,0.6091305169933591,0.258248928308726,
2023-08-09,0.2621117536670406,0.014587710913610339,0.4540650547600402,0.23665156128750167,0.1665234035183335
2023-08-10,0.3244375299186202,0.00029018200409279923,0.2584428915726085,0.22331743000617268,0.16647478783632885
2023-08-11,0.5562213605921693,0.005075245409284765,0.21663213843317689,0.21158952919833188,0.166128938255025
2023-08-12,0.48712295821222856,-0.006807957586637349,0.10932052468933577,0.21668796451615016,0.16167606669076426
2023-08-13,0.15578510354371652,-0.0021920323216464387,0.1810852238252867,0.21037893374755182,0.12081581518382914
2023-08-14,0.5540506350464691,0.003647450753589435,0.5480751320033408,0.22824785587621438,0.12158260548599563
